,category,ttc
10,公告,  NUM   年   NUM   月 跨 機關 巡迴 服務項目   據點 時間 一覽表 公告 日期     NUM       NUM       NUM     公告 事項   新北市 金山 戶政事務     NUM   年   NUM   月 跨 機關 巡迴 服務項目   據點 時間 一覽表   場次   日期   服務 據點   服務 時間   服務 機關   受理 申辦 項目   注意事項     NUM       NUM   年   NUM   月   NUM   日   三芝 區古 庄里 古庄 活動中心   上午   NUM   時至   NUM   時   新北市 金山 戶政事務     印鑑 登記   證明     印鑑 變更   廢止 登記     換   補   發 國民 身分證     戶籍 登記     戶籍 資料 文件 核發     經戶 核准 辦理 事項     戶政 法令 諮詢服務     NUM       NUM   年   NUM   月   NUM   日   石門 區富 基里 漁會 辦事處   上午   NUM   時至   NUM   時   新北市 金山 戶政事務     印鑑 登記   證明     印鑑 變更   廢止 登記     換   補   發 國民 身分證     戶籍 登記     戶籍 資料 文件 核發     經戶 核准 辦理 事項     戶政 法令 諮詢服務   新北市 淡水 地政事務     地籍 清理 業務 諮詢   標售 土地 位置 資訊 查詢 解說     核發 電子 謄本     政 諮詢 業務 宣導     跨所   跨 縣市 代收 代寄 案件     預約 到府 服務 協助 申辦 案件     辦理 簡易 登記 案件     政 法令 諮詢服務   新北 市政府 稅捐稽徵 處 淡水 分處     提供 地方稅 法令 諮詢服務     宣導 資料 發送     輔導 申請 轉帳 納稅     受理 地價稅 自用 住宅 用地 申請書     受理 房屋 使用 情形 變更 申請書     受理 使用 牌照稅 免稅 申請書     捐贈 發票 送 好禮     申辦 電子 發票 手機 條碼 服務     NUM       NUM   年   NUM   月   NUM   日   萬里 區 野柳 里 漁會   上午   NUM   時至   NUM   時   新北市 金山 戶政事務     印鑑 登記   證明     印鑑 變更   廢止 登記     換   補   發 國民 身分證     戶籍 登記     戶籍 資料 文件 核發     經戶 核准 辦理 事項     戶政 法令 諮詢服務     NUM       NUM   年   NUM   月   NUM   日   金山區 磺港 里 漁會   上午   NUM   時   NUM   分   NUM   時   NUM   分   新北市 金山 戶政事務     印鑑 登記   證明     印鑑 變更   廢止 登記     換   補   發 國民 身分證     戶籍 登記     戶籍 資料 文件 核發     經戶 核准 辦理 事項     戶政 法令 諮詢服務   備註   承辦人   常子庭   聯絡 電話     NUM       NUM       NUM     分機   NUM     電子信箱     ENG     NUM       ENG       ENG       ENG   
11,公告,行政院 消費者 保護 處 編列   高齡 消費 爭議 案例 彙編   請民眾 多加 參考   主辦單位   行政院 消費者 保護 處     新 北原 社字   NUM   號 公告 事項   該處 推動 高齡 消保 教育   避免 消費者 受害   特此 編列   高齡 消費 爭議 案例 彙編   請多加 運用   詳情 逕 洽 行政院 消費者 保護 網站   資訊 服務   出版 品   短 網址   ENG       ENG       ENG       ENG     
12,公告,臺東縣 太麻里 鄉     NUM   金針 花季 系列 活動 交通管制   主辦單位   臺東縣 太麻里 鄉公所   公告 事項   公告 訊息 電子 檔 可於     NUM   金針 山 忘憂 花海 系列 活動   網站   ENG       ENG       ENG       ENG       ENG       ENG     ENG       ENG       ENG     ENG       NUM     下載   
13,休閒,  走入 石門 樂活 小 旅行   新北市 石門 區為 鼓勵 走入 石門   體驗 生活   舉辦   走入 石門 樂活 小 旅行   活動 期間     NUM   年   NUM   月   NUM       NUM   月   NUM   日 相關 活動 詳情 報名 方式 請 詳閱 報名 網址     ENG       ENG       ENG       ENG     NUM     ENG   活動 洽詢     NUM       NUM       NUM   分機   NUM   涂 先生 
14,公告,  NUM   年 十大 優秀 校園 犬 網路 票選 活動   活動 鼓勵 學校 飼養 校園 犬   學童 學習 犬貓 正確 相處   了解 犬貓 良性 互動   教導 學童 尊重 生命 動物 保護 教育 觀念     旨 揭     NUM   年 十大 優秀 校園 犬 網路 票選 活動   網址     ENG       ENG       ENG       ENG     NUM     ENG     訂於   NUM   年   NUM   月   NUM   日至   NUM   月   NUM   日 開放 網路 投票   敬請 把握 機會   鼓勵 民眾   師生 家長 踴躍 投票   選出 新北市   NUM   年度 十大 優秀 校園 犬   發佈 課室   秘 書室 
15,教育,  NUM       NUM   板橋 生活 講座   遠離 癌症   快樂 人生   板橋 訊     NUM       板橋 生活 講座   將於   NUM       NUM       晚上   NUM   點在 板橋 區公所   NUM   樓 禮堂   板橋 區府 中路   NUM   號   邀請 中央 大學生 醫 科學 工程學系 助理 教授 蘇立仁 演講   遠離 癌症   快樂 人生   社會 進步   物質享受 提升   文明 病 卻 接續而來   談   癌   色變 今日   避免 癌症 上身   拖累 家人   已成 顯學   蘇 教授 多年 鑽研 腫瘤 細胞 研究   專長 疾病基因 診斷   治療 途徑 預測 藥物 開發   擁有 美   日   星多國 專利   教授 結合 生物醫學 專業   NUM   多年 靜坐 經驗   帶給   NUM   世紀 最潮 養生 概念   講座 免費入場   現場 並有 抽獎 活動   歡迎 踴躍 參加   詳情請 板橋 區公所 全球 資訊網 查詢     ENG       ENG       ENG       ENG       ENG       ENG     電洽     NUM       NUM   轉   NUM     新北市 板橋 區公所   資料 提供   人文 課   黃 馨 儀   電話     NUM       NUM       NUM       NUM   
16,文藝,社會 法律 事件簿 短篇小說 創作 競賽   結合 社會 資源   強化 司法機關 與民眾 溝通 以促 瞭解 司法 內涵   多元 開發 法治 教育 教材   兼顧 推廣 犯罪 防治 工作   法務部 司法官 學院 爰 透過 徵求 法律 小說 文學創作   社會 大眾 司法官 工作 內容   法律 程序 理解 犯罪 防治 對策 走向 重要 議題   透過 文學創作 進一步 認識   啟發 現行制度 進行 批判 思考   促進 司法 革新 進步     申請 期限     NUM   年   NUM   月   NUM   日起   NUM   年   NUM   月   NUM   日止   郵戳     活動 訊息 建 置於 法務部 司法官 學院 犯罪 防治 研究 資料庫 網站     ENG       ENG       ENG       ENG       ENG       ENG       ENG     NUM       ENG     相關 資料 請 逕 網站   視聽 教室 專區 下載   
17,教育,內政部 移民 署 辦理   認識 臺灣   愛 寶島   活動   直播 共學   線上 課程 內政部 移民 署為 響應 政府 數位 關懷 政策   提高 新 住民 子女 資訊 應用 能力   委由承商 巨匠 電腦 股份 有限公司 辦理   認識 臺灣   愛 寶島   活動   直播 共學   線上 課程   活動 詳細 資訊 請參閱 新 住民 資訊   ENG   網     ENG       ENG       ENG       ENG       ENG     或洽 諮詢 專線   NUM       NUM       NUM   下載 檔案   活動   ENG   
18,休閒,  NUM   南投   NUM   自行車 百   ENG   挑戰賽 主辦單位   南投縣 南投市 公所 公告 日期     NUM       NUM       NUM   發文 字號   投市 文字   NUM   號函   公告 事項 
19,文藝,  相見 馨 牡丹     NUM   野 薑 花季 主辦單位   屏東縣 牡丹 鄉公所 公告 日期     NUM       NUM       NUM   發文 字號   牡 鄉農 觀字   NUM   號函   公告 事項 
20,休閒,  NUM   悠活 池上 米 鄉 竹筏 季 系列 活動   大坡 池 採蓮節   夏季 竹筏 體驗 採蓮 水上 活動 主辦單位   臺東縣 池上 鄉公所 公告 日期     NUM       NUM       NUM   發文 字號   池 鄉農 字   NUM   號函   公告 事項   相關 下載     NUM   悠活 池上 米 鄉 竹筏 季 系列 活動   大坡 池 採蓮節   夏季 竹筏 體驗 採蓮 水上 活動 
21,休閒,西湖   幸福 婚宴 小 旅行 綠能 觀光 電動 遊園 車 路線圖 詳細 內容   請 發佈 課室   經建課 
22,教育,  認識 臺灣   愛 寶島   課程 行銷 活動   活動 主題   認識 臺灣   愛 寶島   活動 期間 地點     NUM     網路 競賽     NUM       NUM       NUM         NUM       NUM       NUM         NUM     實體 競賽   台北 場   NUM       NUM       NUM     日     NUM       NUM       NUM       NUM     地點   巨匠 電腦 臺北 認證 中心 台北市 中正 區 公園路   NUM   號   NUM   樓   臺 中場   NUM       NUM       NUM         NUM       NUM       NUM       NUM     地點   巨匠 電腦 公益 認 中心 台中市 西區 公益 路   NUM   號   高雄場   NUM       NUM       NUM         NUM       NUM       NUM       NUM     地點   巨匠 電腦 鳳山 認證 中心 高雄市 鳳山 區光 遠路   NUM   號     參加 對象     NUM     臺 新 住民   新 住民 二代 子女   NUM     需為 新 住民 數位 資訊   ENG   網 會員 非會員 須先     ENG     新 住民 數位 資訊   ENG   網     ENG       ENG       ENG       ENG       ENG       ENG   完成 會員 註冊   活動 說明   相關 活動 細則   請 參考   新 住民 數位 資訊   ENG   網   活動 網頁 說明     實體 競賽 報名 方式     NUM     免 付費 報名 專線     NUM       NUM       NUM     報名 傳真     NUM       NUM       NUM   發佈 課室   人文 課 
23,公告,  NUM   年   NUM       NUM   月 徵兵 梯次 流路 預定 入營 日期 詳細 內容   請 發佈 課室   役 政災 防課 
24,公告,瑞芳 戶政   NUM   年   NUM       NUM   月 巡迴 服務   跨 機關 巡迴 服務 服務 據點 時間 一覽表   廣播稿 宣導 海報 主辦單位   新北市 瑞芳 戶政事務   公告 事項 
25,教育,    NUM     NUM   年 建構 新 住民 數位 學習 應用服務 委外案   課程 行銷 活動 主辦單位   內政部 移民 署   依據 巨匠 數位   NUM   號 公告 事項     內政部 移民 署為 響應 政府 數位 關懷 政策   提高 新 住民 子女 資訊 應用 能力   委由承商 巨匠 電腦 股份 有限公司   NUM   月   NUM   日     NUM   月   NUM   日 辦理   認識 臺灣   愛 寶島   課程 行銷 活動   直播 共學   線上 課程   提供 新 住民 參與 學習     詳細 活動 資訊 參閱   新 住民 資訊   ENG   網   網站     ENG       ENG       ENG       ENG       ENG     或洽 諮詢 專線     NUM       NUM       NUM     
26,文藝,  NUM     中 暑期 特別 活動   越 越欲試   藝起 童樂會   活動 報名 開跑 囉   今年 暑假 最後 一波   最 好玩 體驗   來場 台越 文化交流 童樂會   體驗 越南 童年 遊戲   舞蹈   說說唱唱 教 開 口說 越南話   一起 全球化 腳步 認識 國家 文化   習俗   語言   來自 國家   歡迎 一起 熱情 響應   開學 前夕   吃吃喝喝 玩 創意 交朋友   暑假 不留     NUM     時間     NUM   年   NUM   月   NUM   日     上午   NUM   時至   NUM   時     NUM       NUM   報到     NUM     地點   本所   NUM   樓 禮堂   新北市 中和區 景平路   NUM       NUM   號     NUM     對象   凡 就讀 國小及國 中學生 皆 參加   歡迎 親子 一同 參加     NUM     費用   免費     NUM     報名 方式     NUM     電話 報名     NUM       NUM       NUM   分機   NUM   洪 小姐     NUM     網路 報名     ENG       ENG       ENG       ENG       ENG     NUM     ENG     NUM     ENG     NUM     ENG     NUM     發佈 課室   人文 課 
27,休閒,新北市 中和區 辦理     NUM   年 越 越欲試   藝起 童樂會     NUM   年   NUM   月   NUM   日     上午   NUM   時至   NUM   時   活動 地點   中 區公所   NUM   樓 禮堂   新北市 中和區 景平路   NUM       NUM   號   歡迎 闔家 蒞臨 觀賞 主辦單位   新北市 中 區公所   依據 新北中 文字   NUM   號   公告 事項   倡導 多元 文化   提供 國 中小學 童 暑假 期間 活動 空間   特 舉辦 活動   相關 內容     活動 時間     NUM   年   NUM   月   NUM   日     上午   NUM   時至   NUM   時     活動 地點   中 區公所   NUM   樓 禮堂   新北市 中和區 景平路   NUM       NUM   號     對象   凡 就讀 國小及國 中學生 皆 參加   歡迎 親子 一同 參加     費用   免費   提供 點心 並有 手作 體驗 活動     報名 方式     NUM     電話 報名     NUM       NUM       NUM   分機   NUM   洪 小姐     NUM     網路 報名     ENG       ENG       ENG       ENG     NUM     ENG       相關 活動 資訊 請 新北市 中 區公所 網站     ENG       ENG       ENG       ENG       ENG       ENG     查詢   新北市 中和區 辦理     NUM   年 越 越欲試   藝起 童樂會   活動 文宣 
28,公告,板橋 區 愛心 團體 捐 電扇 助 弱勢 家庭   板橋 訊   本區 弱勢 族群 渡過 炎炎夏日   板橋 區公所 連結 資源   善心 團體 捐助 電扇 分 送給 弱勢 家庭   希望 弱勢 族群 夏天 酷暑 高溫 感受 社會 關懷   本次 愛心 電扇 發放 活動   本區 善心 團體 捐贈   NUM   台 直立式 電扇 予本   預計 將在 本月   NUM   日至   NUM   日 發放   發放 對象 主要 本區 低收入 戶 弱勢 獨居 長者   預估 將有   NUM   戶 弱勢 家庭 受惠   本次 善心 團體 捐贈 電扇   台灣 製造 節能 省電 電扇   實用 環保   弱勢 家庭 將老舊 電風扇 汰舊換新   渡過 夏日 炎炎 酷暑   板橋 區公所 林敬 榜 區長 表示   本次 電扇 發放 活動   感謝 本區 愛心 團體 長期 默默 付出   慷慨解囊 回饋 鄉里   定期 捐助 物資   季節 捐贈 相關 實用 物資   弱勢 家庭 食衣 不虞匱乏   期許 善心 仍夠 拋磚引玉   獲得 善心人士 迴響   實質 行動 愛心   共同 弱勢 族群 送上 最 溫暖 關懷   新北市 板橋 區公所   資料 提供   社會 課   張紀薇   電話     NUM   分機   NUM   
29,公告,  NUM   學年 大學 儲備 軍官 訓練團 甄選 簡章 修正 對照表 推動 分級 醫療   落實 雙向 轉診   就醫請 先到 基層 院所   病情 需要 再 轉診   相關 訊息 請到 健保署 全球 資訊網     ENG       ENG       ENG       ENG     查詢   
30,公告,    NUM   恆春 古城 國際 豎孤棚 觀光 文化 活動   豎孤棚 競賽 豎孤棚 競賽 報名   NUM   月   NUM   日起   NUM   月   NUM   日 截止   額滿 為止   相關 活動 訊息 豎 孤棚 競賽 報名表 請 網站     ENG       ENG       ENG       ENG       ENG     查詢 下載   洽詢 本所觀 農課     NUM       NUM     
31,教育,  認識 臺灣   愛 寶島   課程 內政部 移民 署 課程 行銷 活動   訂於   NUM   月   NUM   日起   NUM   月   NUM   日 辦理   認識 臺灣   愛 寶島   課程 行銷 活動   直播 共學   線上 課程   提供 新 住民 參與 學習   活動 資訊 請參閱   新 住民 資訊 Ｅ 網   網   站     ENG       ENG       ENG       ENG       ENG     洽詢 諮詢 專線   NUM       NUM       NUM     
32,文藝,  NUM   冬山 茶藝 文化節 系列 活動     NUM   冬山 茶藝 文化節 系列 活動   訂於   NUM   年   NUM   月   NUM       NUM   日假 宜蘭縣 冬 山鄉 鄉政 中心 舉辦   
33,休閒,  NUM   恆春 古城 國際 豎孤棚 觀光 文化 活動   系列 活動 訂於   NUM   年   NUM   月   NUM   日   星期三   假 恆春 古城 東門 旁 廣場 辦理     豎孤棚 競賽 報名   NUM   月   NUM   日起   NUM   月   NUM   日 截止   額滿 為止   相關 活動 訊息 豎 孤棚 競賽 報名表 請 屏東縣 恆春鎮 公所 網站     ENG       ENG       ENG       ENG       ENG     查詢 下載   洽詢 恆春鎮 公所 觀農課     NUM       NUM       以上 活動 內容 變更   屏東縣 恆春鎮 公所 網站 網站 公告 為主   發佈 課室   經建課 
34,公告,  不可 不知 狂犬病   防疫 宣導 鼬獾 感染 狂犬病 具 主動 攻擊性   民眾 稍有不慎 遭 抓 咬傷   請 惠予 配合 宣導 民眾 應 避開 野生動物 冒險 捕捉   確保 安全   不慎 動物 咬傷 時   確遵   NUM     記   保持 冷靜   牢記 動物 特徵     NUM     沖   大量 肥皂   清水 沖洗   NUM   分鐘   並以 優 碘 消毒 傷口     NUM     送   儘速 送醫 評估 是否 接種 疫苗     NUM     觀   將咬人 動物 繫留 觀察   NUM   天   
35,教育,荔枝 椿象 生態 防治   ENG     荔枝 椿象 主要 危害 無 患子科 作物 龍眼   荔枝   果實 品質 產量 造成 影響   請 宣導 農友 花期 前   NUM   月 防治   開花 期間 停止 施藥 避免 誤傷 蜜蜂   化學 藥劑 部分   請 上網 查詢 行政院 農業 委員會 動植物 防疫 檢疫局 農藥 資訊 服務網   請 注意 目前 已 公告 刪除 益達胺   可尼丁及 賽速安 三種 藥劑 荔枝 龍眼 使用 方法 範圍 兩年     ENG       ENG       ENG       ENG     荔枝 椿象 夏季 喜 吸食 臺灣 欒樹及 無 患子 植株 嫩枝 及花穗   交配 後 雌蟲 入侵 臨近 住家 產卵   民眾 瞭解 心生 畏懼 通報   此時 建議 告知 椿象 卵 造成 皮膚 刺激 過敏   硬物 小心 即可   無須 緊張     ENG   請民眾 勿 以手 直接 抓捕 若蟲 成蟲   接觸 到椿象 疑似 臭液 噴滴   務必 立即 清水 沖洗 稀釋   嚴重 刺痛感 請 趕緊 就醫 
36,公告,  NUM   金針 花季 系列 活動 交通管制 公告     NUM   金針 花季 系列 活動 交通管制 公告 訊息   可至 活動 網站   ENG       ENG       ENG       ENG       ENG       ENG     ENG       ENG       ENG     ENG       NUM   
37,教育,  NUM     NUM   年 建構 新 住民 數位 學習   認識 臺灣   愛 寶島   課程 活動   內政部 移民 署為 響應 政府 數位 關懷 政策   提高 新 住民 子女 資訊 應用 能力   委由承商 巨匠 電腦   辦理   認識 臺灣   愛 寶島   課程 行銷 活動 辦理   直播 共學   線上 課程   提供 新 住民 參與 學習     詳細 活動 資訊 參閱   新 住民 資訊   ENG   網   網站     ENG       ENG       ENG       ENG       ENG     洽詢 諮詢 專線   NUM       NUM       NUM     
38,教育,洗錢 防 制法 新制 相關 宣導 主辦單位   新北 市政府   依據 臺 洗防字   NUM   號函 公告 事項 
39,公告,  洗錢 防制   國家 向前   行政院 洗錢 防制 辦公室 期能 達到 全面 宣導 洗錢 防 制法 新制 目的   使 全民 了解 政府 推動 洗錢 防制   保護國 人 財產 安全 決心   有效 遏止 不法 洗錢 活動 發生   發佈 課室   秘 書室 
40,公告,替代 役 提供 袍澤 生活 協助 計畫 主辦單位   內政部 役 政署   公告 事項   本區 服役 期間 因傷   病 致殘 退伍軍人 替代 役 退役 人員   日常生活 需 照顧 協助 時   可向本 提出申請   詳情 參閱   ENG       ENG       ENG       ENG       ENG       ENG       ENG     ENG     NUM       ENG   
41,公告,中華民國   NUM   年 全國 語文 競賽 實施 要點 主辦單位   新北 市政府 教育局   公告 事項   下載 檔案 中華民國   NUM   年 全國 語文 競賽 實施 要點 
42,文藝,    NUM   年 越 越欲試   藝起 童樂會   活動 相關 活動 資訊 請 新北市 中 區公所 網站     ENG       ENG       ENG       ENG       ENG       ENG     查詢   
43,文藝,  NUM   羅東 藝穗節     NUM   變 嘉年華 公告 日期     NUM       NUM       NUM     公告 事項   相關 活動 訊息 請 羅東 觀光旅遊 網     ENG       ENG       ENG       ENG       ENG       ENG   搜尋   羅東 鎮 觀光 發展   粉絲 頁 查詢   
44,文藝,  NUM   園區 再生 玩藝 節   再生 玩藝 特展 邀請 國際 藝術家   ENG       ENG       NUM   駐園 藝術家 蘇修賢   原住民 藝術家 伊誕   巴瓦 瓦隆 作品 展出   藝術 樣貌 點觸民眾 感受   傳達 環境保護 意識   並讓 觀者 感受 大地 人 密切關係   深 白色 詩歌   菲律賓 裝置 藝術家     ENG       ENG     來自 菲律賓 裝置 藝術家   ENG       ENG   擅長 運用 回收 垃圾 創作 藝術品   垃圾 時尚     ENG     本次 展覽 珊瑚 主軸 探討 海洋 生態 白化 現象   表達   ENG   自然 存亡 關懷 重視     ENG     瑩之光     NUM   駐園 藝術家   蘇修賢   蘇修賢 專長 攝影   裝置 藝術 繪畫   作品 表達 環境 感悟     ENG     魯凱族 雲豹 之意   蘇修賢 運用 緩慢 堆疊 繪畫 方式   運用 塑膠袋 拼貼 方式   重建 雲豹 世界   大地 冰箱   原住民 藝術家   伊誕   巴瓦 瓦隆   伊誕   巴瓦 瓦隆 創作 風格 富有詩意 想像力   靈感 來自 原鄉 大地 純真   呈現 記憶 中 原住民   古樸 神秘色彩   運用 廢棄 冰箱 鐵件   呈現 壯觀 立體 裝置 意象   
